State,Red Zone,Orange Zone,Green Zone,Total,Lat,Long
Andaman And Nicobar lslands,1,0,2,3,11.66702557,92.73598262
Andhra Pradesh ,5,7,1,13,14.7504291,78.57002559
Arunachal Pradesh,0,0,25,25,27.10039878,93.61660071
Assam ,0,3,30,33,26.7499809,94.21666744
Bihar ,5,20,13,38,25.78541445,87.4799727
Chandigarh ,1,0,0,1,30.71999697,76.78000565
Chhattisgarh ,1,1,25,27,22.09042035,82.15998734
Dadra And Nagar Haveli,0,0,1,1,20.26657819,73.0166178
Daman And Diu,0,0,2,2,20.4283,72.8397
Delhi ,11,0,0,1,28.6699929,77.23000403
Goa ,0,0,2,2,15.491997,73.81800065
Gujarat ,9,19,5,33,22.2587,71.1924
Haryana ,2,18,2,22,28.45000633,77.01999101
Himachal Pradesh ,0,6,6,12,31.10002545,77.16659704
Jammu And Kashmir,4,12,4,20,34.29995933,74.46665849
Jharkhand ,1,9,14,24,23.80039349,86.41998572
Karnataka,3,13,14,30,12.57038129,76.91999711
Kerala,2,10,2,14,8.900372741,76.56999263
Ladakh,0,2,0,2,34.209515,7.615112
Lakshadweep,0,0,1,1,10.56257331,72.63686717
Madhya Pradesh,9,19,24,52,21.30039105,76.13001949
Maharashtra,14,16,6,35,19.25023195,73.16017493
Manipur,0,0,16,16,24.79997072,93.95001705
Meghalaya,0,1,10,11,25.57049217,91.8800142
Mizoram,0,0,11,11,23.71039899,92.72001461
Nagaland,0,0,11,11,25.6669979,94.11657019
Odisha,3,6,21,30,19.82042971,85.90001746
Puducherry,0,1,3,4,11.93499371,79.83000037
Punjab,3,15,4,22,31.51997398,75.98000281
Rajasthan,8,19,6,33,26.44999921,74.63998124
Sikkim,0,0,4,4,27.3333303,88.6166475
Tamil Nadu,12,24,1,37,12.92038576,79.15004187
Telangana,6,18,9,33,18.1124,79.0193
Tripura,0,2,6,8,23.83540428,91.27999914
Uttar Pradesh,19,36,20,75,27.59998069,78.05000565
Uttarakhand,1,2,10,13,30.32040895,78.05000565
West Bengal,10,5,8,23,22.58039044,88.32994665
